"filename", "language", "Dart", "comment", "blank", "total"
"c:\Projects\pos\lib\app_bootstrap.dart", "Dart", 56, 11, 8, 75
"c:\Projects\pos\lib\app_router.dart", "Dart", 325, 21, 31, 377
"c:\Projects\pos\lib\bootstrap.dart", "Dart", 126, 50, 18, 194
"c:\Projects\pos\lib\core\audit\audit_log_service.dart", "Dart", 66, 26, 9, 101
"c:\Projects\pos\lib\core\branch\branch_cubit.dart", "Dart", 438, 30, 69, 537
"c:\Projects\pos\lib\core\branch\branch_state.dart", "Dart", 45, 9, 12, 66
"c:\Projects\pos\lib\core\config\di.dart", "Dart", 363, 8, 33, 404
"c:\Projects\pos\lib\core\const\app_colors.dart", "Dart", 54, 1, 17, 72
"c:\Projects\pos\lib\core\const\app_key.dart", "Dart", 4, 0, 1, 5
"c:\Projects\pos\lib\core\const\app_strings.dart", "Dart", 48, 0, 21, 69
"c:\Projects\pos\lib\core\const\app_typography.dart", "Dart", 70, 6, 15, 91
"c:\Projects\pos\lib\core\const\breakpoint.dart", "Dart", 23, 17, 7, 47
"c:\Projects\pos\lib\core\const\font_utils.dart", "Dart", 52, 28, 8, 88
"c:\Projects\pos\lib\core\const\string_extensions.dart", "Dart", 7, 0, 1, 8
"c:\Projects\pos\lib\core\const\validators.dart", "Dart", 110, 11, 16, 137
"c:\Projects\pos\lib\core\database\app_database.dart", "Dart", 302, 22, 8, 332
"c:\Projects\pos\lib\core\database\app_database.g.dart", "Dart", 19348, 75, 998, 20421
"c:\Projects\pos\lib\core\database\connection\connection.dart", "Dart", 3, 0, 1, 4
"c:\Projects\pos\lib\core\database\connection\native_connection.dart", "Dart", 12, 0, 3, 15
"c:\Projects\pos\lib\core\database\connection\unsupported_connection.dart", "Dart", 7, 0, 2, 9
"c:\Projects\pos\lib\core\database\connection\web_connection.dart", "Dart", 12, 0, 2, 14
"c:\Projects\pos\lib\core\database\daos\audit_logs_dao.dart", "Dart", 102, 0, 10, 112
"c:\Projects\pos\lib\core\database\daos\audit_logs_dao.g.dart", "Dart", 14, 2, 4, 20
"c:\Projects\pos\lib\core\database\daos\auth_context_dao.dart", "Dart", 79, 8, 10, 97
"c:\Projects\pos\lib\core\database\daos\auth_context_dao.g.dart", "Dart", 15, 2, 4, 21
"c:\Projects\pos\lib\core\database\daos\branches_dao.dart", "Dart", 113, 14, 17, 144
"c:\Projects\pos\lib\core\database\daos\branches_dao.g.dart", "Dart", 11, 2, 4, 17
"c:\Projects\pos\lib\core\database\daos\business_templates_dao.dart", "Dart", 61, 6, 9, 76
"c:\Projects\pos\lib\core\database\daos\business_templates_dao.g.dart", "Dart", 15, 2, 4, 21
"c:\Projects\pos\lib\core\database\daos\businesses_dao.dart", "Dart", 123, 16, 19, 158
"c:\Projects\pos\lib\core\database\daos\businesses_dao.g.dart", "Dart", 14, 2, 4, 20
"c:\Projects\pos\lib\core\database\daos\categories_dao.dart", "Dart", 114, 13, 15, 142
"c:\Projects\pos\lib\core\database\daos\categories_dao.g.dart", "Dart", 14, 2, 4, 20
"c:\Projects\pos\lib\core\database\daos\employee_permissions_dao.dart", "Dart", 46, 9, 10, 65
